UMLS_rel	semmeddb_rel	Annotator 1	Annotator 2
active_ingredient_of	compared_with	not sure	not sure
active_ingredient_of	COEXISTS_WITH	not sure	not sure
active_ingredient_of	INTERACTS_WITH	wrong	wrong
active_ingredient_of	higher_than	not sure	not sure
active_ingredient_of	ISA	not sure	not sure
anatomic_structure_has_location	PART_OF	not sure	not sure
anatomic_structure_has_location	LOCATION_OF	wrong	wrong
anatomic_structure_is_physical_part_of	PART_OF	correct	correct
anatomic_structure_is_physical_part_of	LOCATION_OF	wrong	wrong
anatomic_structure_is_physical_part_of	NEG_PART_OF	wrong	wrong
anatomic_structure_is_physical_part_of	AFFECTS	not sure	not sure
anatomic_structure_is_physical_part_of	AUGMENTS	not sure	wrong
associated_morphology_of	COEXISTS_WITH	not sure	not sure
associated_morphology_of	CAUSES	not sure	correct
associated_morphology_of	AFFECTS	not sure	not sure
associated_morphology_of	ISA	wrong	not sure
associated_morphology_of	LOCATION_OF	wrong	not sure
associated_morphology_of	MANIFESTATION_OF	wrong	wrong
associated_morphology_of	PREDISPOSES	not sure	not sure
associated_morphology_of	OCCURS_IN	wrong	wrong
associated_morphology_of	PRECEDES	not sure	not sure
associated_morphology_of	NEG_COEXISTS_WITH	not sure	not sure
associated_morphology_of	COMPLICATES	not sure	not sure
associated_morphology_of	PART_OF	wrong	wrong
associated_with	COEXISTS_WITH	correct	correct
associated_with	ISA	not sure	not sure
associated_with	CAUSES	not sure	correct
biological_process_has_associated_location	AFFECTS	not sure	not sure
biological_process_has_associated_location	NEG_AFFECTS	not sure	not sure
biological_process_is_part_of_process	AFFECTS	not sure	not sure
biological_process_is_part_of_process	COEXISTS_WITH	correct	not sure
biological_process_is_part_of_process	ISA	not sure	not sure
causative_agent_of	CAUSES	correct	correct
causative_agent_of	TREATS	wrong	wrong
causative_agent_of	ASSOCIATED_WITH	correct	wrong
causative_agent_of	COEXISTS_WITH	not sure	correct
causative_agent_of	INTERACTS_WITH	not sure	wrong
causative_agent_of	PREDISPOSES	correct	correct
causative_agent_of	AFFECTS	correct	correct
causative_agent_of	AUGMENTS	not sure	correct
causative_agent_of	PREVENTS	wrong	wrong
cause_of	CAUSES	correct	correct
cause_of	COEXISTS_WITH	not sure	not sure
chemical_or_drug_affects_gene_product	INHIBITS	not sure	correct
chemical_or_drug_affects_gene_product	INTERACTS_WITH	correct	correct
chemical_or_drug_is_metabolized_by_enzyme	INTERACTS_WITH	correct	correct
chemical_or_drug_is_metabolized_by_enzyme	INHIBITS	not sure	not sure
chemical_structure_of	INTERACTS_WITH	wrong	wrong
chemical_structure_of	COEXISTS_WITH	wrong	not sure
chemical_structure_of	ISA	wrong	wrong
chemical_structure_of	compared_with	wrong	wrong
chemical_structure_of	STIMULATES	wrong	wrong
chemical_structure_of	higher_than	wrong	wrong
chemical_structure_of	INHIBITS	wrong	wrong
chemotherapy_regimen_has_component	ISA	wrong	wrong
chemotherapy_regimen_has_component	USES	correct	correct
conceptual_part_of	ISA	wrong	correct
constitutional_part_of	PART_OF	correct	correct
constitutional_part_of	LOCATION_OF	wrong	wrong
continuous_with	PART_OF	wrong	wrong
contraindicated_with_disease	TREATS	wrong	wrong
